"","year","lowerlemma","count"
"86",2009,"finding",109
"87",2009,"increase",109
"88",2009,"measure",109
"89",2009,"account",107
"90",2009,"new",107
"91",2009,"demonstrate",105
"92",2009,"ability",104
"93",2009,"relationship",103
"94",2009,"order",102
"95",2009,"set",102
"96",2009,"student",102
"97",2009,"experiments",100
"98",2009,"network",100
"99",2009,"similarity",100
"100",2009,"well",99
"101",2009,"give",98
"102",2009,"models",98
"103",2009,"interaction",97
"104",2009,"item",96
"105",2009,"perceptual",96
"106",2009,"predict",96
"107",2009,"2",94
"108",2009,"event",94
"109",2009,"previous",94
"110",2009,"three",94
"111",2009,"perception",93
"112",2009,"stimuli",93
"113",2009,"attention",92
"114",2009,"form",92
"115",2009,"propose",91
"116",2009,"relation",91
"117",2009,"sentence",90
"118",2009,"1",89
"119",2009,"cue",89
"120",2009,"discuss",89
"121",2009,"change",88
"122",2009,"explore",88
"123",2009,"reasoning",88
"124",2009,"indicate",87
"125",2009,"perform",87
"126",2009,"subject",87
"127",2009,"adult",86
"128",2009,"affect",86
"129",2009,"categorie",86
"130",2009,"computational",86
"131",2009,"pattern",86
"132",2009,"support",86
"133",2009,"lexical",85
"134",2009,"type",85
"135",2009,"mental",83
"136",2009,"prediction",83
"137",2009,"face",82
"138",2009,"recent",82
"139",2009,"inference",81
"140",2009,"domain",80
"141",2009,"environment",80
"142",2009,"explain",80
"143",2009,"most",80
"144",2009,"report",80
"145",2009,"space",80
"146",2009,"speech",80
"147",2009,"design",79
"148",2009,"probability",79
"149",2009,"behavior",78
"150",2009,"current",78
"151",2009,"function",77
"152",2009,"novel",77
"153",2009,"property",77
"154",2009,"require",77
"155",2009,"cognition",76
"156",2009,"here",76
"157",2009,"recognition",76
"158",2009,"self",76
"159",2009,"term",76
"160",2009,"development",75
"161",2009,"experience",75
"162",2009,"experimental",75
"163",2009,"first",75
"164",2009,"social",75
"165",2009,"way",75
"166",2009,"agent",74
"167",2009,"approach",74
"168",2009,"learner",73
"169",2009,"meaning",73
"170",2009,"rule",73
"171",2009,"complex",72
"172",2009,"important",72
"173",2009,"play",72
"174",2009,"develop",71
"175",2009,"english",71
"176",2009,"example",71
"177",2009,"rate",71
"178",2009,"speaker",71
"179",2009,"explanation",70
"180",2009,"follow",70
"181",2009,"specific",70
"182",2009,"then",70
"183",2009,"focus",69
"184",2009,"take",69
"185",2009,"temporal",69
"186",2009,"world",69
"187",2009,"year",69
"188",2009,"error",68
"189",2009,"image",68
"190",2009,"include",68
"191",2009,"produce",68
"192",2009,"size",68
"193",2009,"know",67
"194",2009,"picture",67
"195",2009,"statistical",67
"196",2009,"allow",66
"197",2009,"describe",66
"198",2009,"linguistic",66
"199",2009,"many",66
"200",2009,"related",66
"201",2009,"where",66
"202",2009,"ask",65
"203",2009,"even",65
"204",2009,"goal",65
"205",2009,"often",65
"206",2009,"search",65
"207",2009,"similar",65
"208",2009,"simulation",65
"209",2009,"activity",64
"210",2009,"cause",64
"211",2009,"concept",64
"212",2009,"lead",64
"213",2009,"motor",64
"214",2009,"view",63
"215",2009,"factor",62
"216",2009,"observe",62
"217",2009,"reason",62
"218",2009,"comparison",61
"219",2009,"do",61
"220",2009,"hypothesis",61
"221",2009,"paradigm",61
"222",2009,"prior",61
"223",2009,"conceptual",60
"224",2009,"eye",60
"225",2009,"high",60
"226",2009,"implication",59
"227",2009,"neural",59
"228",2009,"represent",59
"229",2009,"reveal",59
"230",2009,"right",59
"231",2009,"second",59
"232",2009,"sequence",59
"233",2009,"state",59
"234",2009,"understanding",59
"235",2009,"able",58
"236",2009,"age",58
"237",2009,"appear",58
"238",2009,"b",58
"239",2009,"better",58
"240",2009,"depend",58
"241",2009,"frequency",58
"242",2009,"less",58
"243",2009,"pair",58
"244",2009,"simple",58
"245",2009,"single",58
"246",2009,"situation",58
"247",2009,"occur",57
"248",2009,"outcome",57
"249",2009,"science",57
"250",2009,"trial",57
"251",2009,"categorization",56
"252",2009,"method",56
"253",2009,"possible",56
"254",2009,"training",56
"255",2009,"acquisition",55
"256",2009,"belief",55
"257",2009,"comprehension",55
"258",2009,"so",55
"259",2009,"conduct",54
"260",2009,"input",54
"261",2009,"point",54
"262",2009,"real",54
"263",2009,"associate",53
"264",2009,"estimate",53
"265",2009,"line",53
"266",2009,"movement",53
"267",2009,"perceive",53
"268",2009,"recall",53
"269",2009,"solve",53
"270",2009,"argue",52
"271",2009,"communication",52
"272",2009,"name",52
"273",2009,"question",52
"274",2009,"text",52
"275",2009,"understand",52
"276",2009,"apply",51
"277",2009,"case",51
"278",2009,"distribution",51
"279",2009,"feedback",51
"280",2009,"production",51
"281",2009,"3",50
"282",2009,"bayesian",50
"283",2009,"consistent",50
"284",2009,"generate",50
"285",2009,"reflect",50
"286",2009,"relative",50
"287",2009,"accuracy",49
"288",2009,"direct",49
"289",2009,"hand",49
"290",2009,"left",49
"291",2009,"part",49
"292",2009,"scene",49
"293",2009,"think",49
"294",2009,"abstract",48
"295",2009,"component",48
"296",2009,"determine",48
"297",2009,"general",48
"298",2009,"nature",48
"299",2009,"rather",48
"300",2009,"significant",48
"301",2009,"sound",48
"302",2009,"alternative",47
"303",2009,"choice",47
"304",2009,"consider",47
"305",2009,"large",47
"306",2009,"solving",47
"307",2009,"verb",47
"308",2009,"common",46
"309",2009,"higher",46
"310",2009,"involve",46
"311",2009,"multiple",46
"312",2009,"thus",46
"313",2009,"bia",45
"314",2009,"contrast",45
"315",2009,"grammar",45
"316",2009,"particular",45
"317",2009,"read",45
"318",2009,"value",45
"319",2009,"aim",44
"320",2009,"match",44
"321",2009,"see",44
"322",2009,"stimulus",44
"323",2009,"brain",43
"324",2009,"evaluate",43
"325",2009,"implicit",43
"326",2009,"label",43
"327",2009,"mean",43
"328",2009,"priming",43
"329",2009,"variable",43
"330",2009,"area",42
"331",2009,"extend",42
"332",2009,"field",42
"333",2009,"look",42
"334",2009,"mapping",42
"335",2009,"several",42
"336",2009,"share",42
"337",2009,"source",42
"338",2009,"switch",42
"339",2009,"systems",42
"340",2009,"addition",41
"341",2009,"attentional",41
"342",2009,"further",41
"343",2009,"location",41
"344",2009,"long",41
"345",2009,"track",41
"346",2009,"capacity",40
"347",2009,"distance",40
"348",2009,"identify",40
"349",2009,"list",40
"350",2009,"metaphor",40
"351",2009,"old",40
"352",2009,"sign",40
"353",2009,"standard",40
"354",2009,"various",40
"355",2009,"color",39
"356",2009,"framework",39
"357",2009,"improve",39
"358",2009,"kind",39
"359",2009,"modeling",39
"360",2009,"perspective",39
"361",2009,"shape",39
"362",2009,"significantly",39
"363",2009,"train",39
"364",2009,"2008",38
"365",2009,"assume",38
"366",2009,"degree",38
"367",2009,"low",38
"368",2009,"rely",38
"369",2009,"empirical",37
"370",2009,"explicit",37
"371",2009,"four",37
"372",2009,"idea",37
"373",2009,"interpretation",37
"374",2009,"law",37
"375",2009,"likely",37
"376",2009,"natural",37
"377",2009,"observ",37
"378",2009,"relevant",37
"379",2009,"speed",37
"380",2009,"a",36
"381",2009,"facilitate",36
"382",2009,"fact",36
"383",2009,"strong",36
"384",2009,"theoretical",36
"385",2009,"transfer",36
"386",2009,"2007",35
"387",2009,"assess",35
"388",2009,"basis",35
"389",2009,"behavioral",35
"390",2009,"decrease",35
"391",2009,"dimension",35
"392",2009,"display",35
"393",2009,"fit",35
"394",2009,"leave",35
"395",2009,"literature",35
"396",2009,"making",35
"397",2009,"need",35
"398",2009,"signal",35
"399",2009,"define",34
"400",2009,"difficulty",34
"401",2009,"encoding",34
"402",2009,"greater",34
"403",2009,"independent",34
"404",2009,"link",34
"405",2009,"noun",34
"406",2009,"reading",34
"407",2009,"verbal",34
"408",2009,"arise",33
"409",2009,"aspect",33
"410",2009,"complexity",33
"411",2009,"differ",33
"412",2009,"expect",33
"413",2009,"gesture",33
"414",2009,"interact",33
"415",2009,"main",33
"416",2009,"map",33
"417",2009,"mind",33
"418",2009,"much",33
"419",2009,"potential",33
"420",2009,"principle",33
"421",2009,"reference",33
"422",2009,"risk",33
"423",2009,"skill",33
"424",2009,"speak",33
"425",2009,"structural",33
"426",2009,"2004",32
"427",2009,"act",32
"428",2009,"association",32
"429",2009,"attempt",32
"430",2009,"capture",32
"431",2009,"combination",32
"432",2009,"direction",32
"433",2009,"draw",32
"434",2009,"go",32
"435",2009,"good",32
"436",2009,"instead",32
"437",2009,"motion",32
"438",2009,"recognize",32
"439",2009,"selection",32
"440",2009,"step",32
"441",2009,"architecture",31
"442",2009,"artificial",31
"443",2009,"constraint",31
"444",2009,"exist",31
"445",2009,"fmri",31
"446",2009,"instruction",31
"447",2009,"mode",31
"448",2009,"patterns",31
"449",2009,"reaction",31
"450",2009,"retrieval",31
"451",2009,"shift",31
"452",2009,"assumption",30
"453",2009,"at",30
"454",2009,"computer",30
"455",2009,"confirm",30
"456",2009,"dynamic",30
"457",2009,"dynamics",30
"458",2009,"early",30
"459",2009,"exemplar",30
"460",2009,"extent",30
"461",2009,"external",30
"462",2009,"format",30
"463",2009,"internal",30
"464",2009,"issue",30
"465",2009,"little",30
"466",2009,"move",30
"467",2009,"negative",30
"468",2009,"phonological",30
"469",2009,"physical",30
"470",2009,"positive",30
"471",2009,"sensitive",30
"472",2009,"small",30
"473",2009,"activation",29
"474",2009,"amount",29
"475",2009,"difficult",29
"476",2009,"expression",29
"477",2009,"in",29
"478",2009,"inhibition",29
"479",2009,"interpret",29
"480",2009,"judge",29
"481",2009,"manipulate",29
"482",2009,"psychological",29
"483",2009,"reduce",29
"484",2009,"strength",29
"485",2009,"syntactic",29
"486",2009,"unit",29
"487",2009,"variety",29
"488",2009,"very",29
"489",2009,"accord",28
"490",2009,"address",28
"491",2009,"advantage",28
"492",2009,"correct",28
"493",2009,"correlate",28
"494",2009,"correlation",28
"495",2009,"establish",28
"496",2009,"help",28
"497",2009,"highly",28
"498",2009,"integration",28
"499",2009,"involved",28
"500",2009,"languag",28
"501",2009,"overall",28
"502",2009,"referent",28
"503",2009,"solution",28
"504",2009,"4",27
"505",2009,"acquire",27
"506",2009,"analyze",27
"507",2009,"associative",27
"508",2009,"available",27
"509",2009,"best",27
"510",2009,"body",27
"511",2009,"conclude",27
"512",2009,"emerge",27
"513",2009,"emotional",27
"514",2009,"enhance",27
"515",2009,"game",27
"516",2009,"implement",27
"517",2009,"introduce",27
"518",2009,"numerical",27
"519",2009,"previously",27
"520",2009,"range",27
"521",2009,"relational",27
"522",2009,"resource",27
"523",2009,"subjective",27
"524",2009,"tend",27
"525",2009,"2006",26
"526",2009,"add",26
"527",2009,"animal",26
"528",2009,"call",26
"529",2009,"categorical",26
"530",2009,"characteristic",26
"531",2009,"claim",26
"532",2009,"combine",26
"533",2009,"complete",26
"534",2009,"dependent",26
"535",2009,"emotion",26
"536",2009,"explanations",26
"537",2009,"generalization",26
"538",2009,"ib",26
"539",2009,"impact",26
"540",2009,"preference",26
"541",2009,"repeat",26
"542",2009,"specifically",26
"543",2009,"story",26
"544",2009,"together",26
"545",2009,"underly",26
"546",2009,"underlying",26
"547",2009,"automatic",25
"548",2009,"bilingual",25
"549",2009,"conditional",25
"550",2009,"conflict",25
"551",2009,"drive",25
"552",2009,"dual",25
"553",2009,"element",25
"554",2009,"embodied",25
"555",2009,"exhibit",25
"556",2009,"five",25
"557",2009,"free",25
"558",2009,"gaze",25
"559",2009,"heuristic",25
"560",2009,"initial",25
"561",2009,"joint",25
"562",2009,"lack",25
"563",2009,"native",25
"564",2009,"orientation",25
"565",2009,"phenomena",25
"566",2009,"place",25
"567",2009,"refer",25
"568",2009,"topic",25
"569",2009,"typically",25
"570",2009,"vocabulary",25
"571",2009,"accurate",24
"572",2009,"algorithm",24
"573",2009,"arithmetic",24
"574",2009,"benefit",24
"575",2009,"consist",24
"576",2009,"continuous",24
"577",2009,"day",24
"578",2009,"detection",24
"579",2009,"developmental",24
"580",2009,"diagram",24
"581",2009,"elicit",24
"582",2009,"employ",24
"583",2009,"evolution",24
"584",2009,"insight",24
"585",2009,"interest",24
"586",2009,"limit",24
"587",2009,"load",24
"588",2009,"magnitude",24
"589",2009,"modality",24
"590",2009,"patient",24
"591",2009,"phase",24
"592",2009,"power",24
"593",2009,"reach",24
"594",2009,"recently",24
"595",2009,"route",24
"596",2009,"seem",24
"597",2009,"short",24
"598",2009,"strongly",24
"599",2009,"analogy",23
"600",2009,"consequence",23
"601",2009,"contain",23
"602",2009,"critical",23
"603",2009,"executive",23
"604",2009,"far",23
"605",2009,"infant",23
"606",2009,"interference",23
"607",2009,"key",23
"608",2009,"listener",23
"609",2009,"own",23
"610",2009,"position",23
"611",2009,"psychology",23
"612",2009,"regard",23
"613",2009,"region",23
"614",2009,"sense",23
"615",2009,"simulate",23
"616",2009,"vari",23
"617",2009,"x",23
"618",2009,"attribute",22
"619",2009,"build",22
"620",2009,"certain",22
"621",2009,"conclusion",22
"622",2009,"cost",22
"623",2009,"create",22
"624",2009,"diagnostic",22
"625",2009,"effective",22
"626",2009,"exploration",22
"627",2009,"faster",22
"628",2009,"generally",22
"629",2009,"infer",22
"630",2009,"larger",22
"631",2009,"lexicon",22
"632",2009,"observation",22
"633",2009,"onset",22
"634",2009,"parameter",22
"635",2009,"period",22
"636",2009,"presentation",22
"637",2009,"probabilistic",22
"638",2009,"remain",22
"639",2009,"reward",22
"640",2009,"sample",22
"641",2009,"select",22
"642",2009,"series",22
"643",2009,"technique",22
"644",2009,"units",22
"645",2009,"variation",22
"646",2009,"version",22
"647",2009,"wmu",22
"648",2009,"words",22
"649",2009,"absence",21
"650",2009,"ambiguous",21
"651",2009,"analogical",21
"652",2009,"become",21
"653",2009,"choose",21
"654",2009,"corpus",21
"655",2009,"distinct",21
"656",2009,"down",21
"657",2009,"encod",21
"658",2009,"end",21
"659",2009,"fundamental",21
"660",2009,"future",21
"661",2009,"gender",21
"662",2009,"length",21
"663",2009,"letter",21
"664",2009,"logical",21
"665",2009,"moral",21
"666",2009,"population",21
"667",2009,"practice",21
"668",2009,"predictive",21
"669",2009,"processes",21
"670",2009,"r",21
"671",2009,"side",21
"672",2009,"spoken",21
"673",2009,"symbolic",21
"674",2009,"traditional",21
"675",2009,"trajectory",21
"676",2009,"2000",20
"677",2009,"adapt",20
"678",2009,"basic",20
"679",2009,"biase",20
"680",2009,"challenge",20
"681",2009,"chinese",20
"682",2009,"come",20
"683",2009,"competition",20
"684",2009,"concrete",20
"685",2009,"connectionist",20
"686",2009,"content",20
"687",2009,"demand",20
"688",2009,"description",20
"689",2009,"dimensional",20
"690",2009,"effort",20
"691",2009,"expert",20
"692",2009,"exposure",20
"693",2009,"facial",20
"694",2009,"false",20
"695",2009,"familiar",20
"696",2009,"hold",20
"697",2009,"hypothesize",20
"698",2009,"inductive",20
"699",2009,"japanese",20
"700",2009,"later",20
"701",2009,"light",20
"702",2009,"local",20
"703",2009,"longer",20
"704",2009,"lower",20
"705",2009,"music",20
"706",2009,"objects",20
"707",2009,"observer",20
"708",2009,"option",20
"709",2009,"orienting",20
"710",2009,"participate",20
"711",2009,"prim",20
"712",2009,"relate",20
"713",2009,"representational",20
"714",2009,"representations",20
"715",2009,"sensory",20
"716",2009,"sequential",20
"717",2009,"stage",20
"718",2009,"start",20
"719",2009,"statistic",20
"720",2009,"user",20
"721",2009,"2001",19
"722",2009,"5",19
"723",2009,"absolute",19
"724",2009,"access",19
"725",2009,"adaptive",19
"726",2009,"additional",19
"727",2009,"alignment",19
"728",2009,"application",19
"729",2009,"central",19
"730",2009,"easily",19
"731",2009,"engage",19
"732",2009,"expectation",19
"733",2009,"generation",19
"734",2009,"grammatical",19
"735",2009,"identification",19
"736",2009,"intention",19
"737",2009,"manner",19
"738",2009,"naming",19
"739",2009,"neutral",19
"740",2009,"optimal",19
"741",2009,"person",19
"742",2009,"phenomenon",19
"743",2009,"presence",19
"744",2009,"separate",19
"745",2009,"statement",19
"746",2009,"still",19
"747",2009,"successful",19
"748",2009,"tendency",19
"749",2009,"testing",19
"750",2009,"valence",19
"751",2009,"walk",19
"752",2009,"1997",18
"753",2009,"1998",18
"754",2009,"awareness",18
"755",2009,"characterize",18
"756",2009,"classification",18
"757",2009,"constrain",18
"758",2009,"construction",18
"759",2009,"cortex",18
"760",2009,"counterfactual",18
"761",2009,"course",18
"762",2009,"discrimination",18
"763",2009,"evaluation",18
"764",2009,"fail",18
"765",2009,"few",18
"766",2009,"frame",18
"767",2009,"gain",18
"768",2009,"head",18
"769",2009,"hypotheses",18
"770",2009,"imply",18
"771",2009,"indeed",18
"772",2009,"induce",18
"773",2009,"instance",18
"774",2009,"intend",18
"775",2009,"latency",18
"776",2009,"least",18
"777",2009,"m",18
"778",2009,"notion",18
"779",2009,"past",18
"780",2009,"post",18
"781",2009,"proportion",18
"782",2009,"receive",18
"783",2009,"regular",18
"784",2009,"relations",18
"785",2009,"robust",18
"786",2009,"rt",18
"787",2009,"saliency",18
"788",2009,"scale",18
"789",2009,"sentenx",18
"790",2009,"simultaneously",18
"791",2009,"terms",18
"792",2009,"turn",18
"793",2009,"unrelated",18
"794",2009,"10",17
"795",2009,"2002",17
"796",2009,"alone",17
"797",2009,"approaches",17
"798",2009,"appropriate",17
"799",2009,"argument",17
"800",2009,"article",17
"801",2009,"auditory",17
"802",2009,"average",17
"803",2009,"causality",17
"804",2009,"chance",17
"805",2009,"cluster",17
"806",2009,"coherence",17
"807",2009,"congruent",17
"808",2009,"conscious",17
"809",2009,"construct",17
"810",2009,"contribution",17
"811",2009,"cultural",17
"812",2009,"culture",17
"813",2009,"debate",17
"814",2009,"decide",17
"815",2009,"dialogue",17
"816",2009,"efficient",17
"817",2009,"embody",17
"818",2009,"episodic",17
"819",2009,"express",17
"820",2009,"finally",17
"821",2009,"furthermore",17
"822",2009,"generalize",17
"823",2009,"graphical",17
"824",2009,"guide",17
"825",2009,"highlight",17
"826",2009,"impairment",17
"827",2009,"just",17
"828",2009,"l1",17
"829",2009,"l2",17
"830",2009,"latent",17
"831",2009,"layer",17
"832",2009,"like",17
"833",2009,"logic",17
"834",2009,"maintain",17
"835",2009,"manipulation",17
"836",2009,"mathematical",17
"837",2009,"monitor",17
"838",2009,"pitch",17
"839",2009,"preliminary",17
"840",2009,"project",17
"841",2009,"reinforcement",17
"842",2009,"relatively",17
"843",2009,"seek",17
"844",2009,"serial",17
"845",2009,"sleep",17
"846",2009,"specificity",17
"847",2009,"symposium",17
"848",2009,"therefore",17
"849",2009,"tool",17
"850",2009,"top",17
"851",2009,"tracking",17
"852",2009,"true",17
"853",2009,"variability",17
"854",2009,"writing",17
"855",2009,"bring",16
"856",2009,"categorize",16
"857",2009,"cross",16
"858",2009,"database",16
"859",2009,"deal",16
"860",2009,"diffusion",16
"861",2009,"duration",16
"862",2009,"graph",16
"863",2009,"hear",16
"864",2009,"illustrate",16
"865",2009,"incorporate",16
"866",2009,"mediate",16
"867",2009,"necessary",16
"868",2009,"operation",16
"869",2009,"organization",16
"870",2009,"possibility",16
"871",2009,"prime",16
"872",2009,"protocol",16
"873",2009,"quality",16
"874",2009,"rating",16
"875",2009,"regularity",16
"876",2009,"respond",16
"877",2009,"rm",16
"878",2009,"salient",16
"879",2009,"selective",16
"880",2009,"sensitivity",16
"881",2009,"subsequent",16
"882",2009,"virtual",16
"883",2009,"young",16
"884",2009,"2003",15
"885",2009,"2005",15
"886",2009,"about",15
"887",2009,"achieve",15
"888",2009,"adjective",15
"889",2009,"affordance",15
"890",2009,"block",15
"891",2009,"chain",15
"892",2009,"default",15
"893",2009,"delay",15
"894",2009,"derive",15
"895",2009,"discovery",15
"896",2009,"distractor",15
"897",2009,"erp",15
"898",2009,"execution",15
"899",2009,"immediate",15
"900",2009,"integrat",15
"901",2009,"judgments",15
"902",2009,"membership",15
"903",2009,"modulate",15
"904",2009,"month",15
"905",2009,"musical",15
"906",2009,"near",15
"907",2009,"noise",15
"908",2009,"olds",15
"909",2009,"opposite",15
"910",2009,"parallel",15
"911",2009,"particularly",15
"912",2009,"path",15
"913",2009,"random",15
"914",2009,"record",15
"915",2009,"smaller",15
"916",2009,"spanish",15
"917",2009,"systematically",15
"918",2009,"threshold",15
"919",2009,"university",15
"920",2009,"utterance",15
"921",2009,"vehicle",15
"922",2009,"wide",15
"923",2009,"active",14
"924",2009,"affective",14
"925",2009,"agl",14
"926",2009,"ap",14
"927",2009,"assessment",14
"928",2009,"ball",14
"929",2009,"baseline",14
"930",2009,"behaviour",14
"931",2009,"class",14
"932",2009,"close",14
"933",2009,"collect",14
"934",2009,"contrary",14
"935",2009,"contribute",14
"936",2009,"criterion",14
"937",2009,"crucial",14
"938",2009,"detect",14
"939",2009,"diversity",14
"940",2009,"especially",14
"941",2009,"fast",14
"942",2009,"figure",14
"943",2009,"frequently",14
"944",2009,"functional",14
"945",2009,"generic",14
"946",2009,"grade",14
"947",2009,"il",14
"948",2009,"importance",14
"949",2009,"interactive",14
"950",2009,"interesting",14
"951",2009,"largely",14
"952",2009,"lh",14
"953",2009,"lie",14
"954",2009,"life",14
"955",2009,"lsa",14
"956",2009,"modify",14
"957",2009,"n",14
"958",2009,"older",14
"959",2009,"output",14
"960",2009,"phoneme",14
"961",2009,"planning",14
"962",2009,"player",14
"963",2009,"pool",14
"964",2009,"predictions",14
"965",2009,"primarily",14
"966",2009,"primary",14
"967",2009,"promote",14
"968",2009,"punishment",14
"969",2009,"reliable",14
"970",2009,"remember",14
"971",2009,"replicate",14
"972",2009,"respect",14
"973",2009,"reverse",14
"974",2009,"run",14
"975",2009,"samples",14
"976",2009,"sampling",14
"977",2009,"setting",14
"978",2009,"signals",14
"979",2009,"stroop",14
"980",2009,"successfully",14
"981",2009,"switching",14
"982",2009,"thing",14
"983",2009,"tutor",14
"984",2009,"varie",14
"985",2009,"vary",14
"986",2009,"why",14
"987",2009,"12",13
"988",2009,"7",13
"989",2009,"9",13
"990",2009,"acoustic",13
"991",2009,"activate",13
"992",2009,"actual",13
"993",2009,"actually",13
"994",2009,"anchor",13
"995",2009,"animate",13
"996",2009,"believe",13
"997",2009,"clarify",13
"998",2009,"communicative",13
"999",2009,"conjunction",13
"1000",2009,"constant",13
"1001",2009,"detail",13
"1002",2009,"diverse",13
"1003",2009,"embed",13
"1004",2009,"environmental",13
"1005",2009,"extension",13
"1006",2009,"family",13
"1007",2009,"fax",13
"1008",2009,"female",13
"1009",2009,"final",13
"1010",2009,"frequent",13
"1011",2009,"frontal",13
"1012",2009,"fully",13
"1013",2009,"genetic",13
"1014",2009,"german",13
"1015",2009,"impaire",13
"1016",2009,"intuitive",13
"1017",2009,"limited",13
"1018",2009,"listeners",13
"1019",2009,"manipulat",13
"1020",2009,"material",13
"1021",2009,"melody",13
"1022",2009,"member",13
"1023",2009,"motivation",13
"1024",2009,"obtain",13
"1025",2009,"patch",13
"1026",2009,"pr",13
"1027",2009,"purpose",13
"1028",2009,"rapid",13
"1029",2009,"researcher",13
"1030",2009,"resolve",13
"1031",2009,"retention",13
"1032",2009,"scenario",13
"1033",2009,"score",13
"1034",2009,"sort",13
"1035",2009,"stronger",13
"1036",2009,"tie",13
"1037",2009,"tom",13
"1038",2009,"trace",13
"1039",2009,"transformation",13
"1040",2009,"variance",13
"1041",2009,"vowel",13
"1042",2009,"web",13
"1043",2009,"whole",13
"1044",2009,"write",13
"1045",2009,"yield",13
"1046",2009,"6",12
"1047",2009,"always",12
"1048",2009,"associations",12
"1049",2009,"biological",12
"1050",2009,"carry",12
"1051",2009,"character",12
"1052",2009,"chunk",12
"1053",2009,"classic",12
"1054",2009,"closely",12
"1055",2009,"collaboration",12
"1056",2009,"communicate",12
"1057",2009,"completion",12
"1058",2009,"consistently",12
"1059",2009,"contents",12
"1060",2009,"correspond",12
"1061",2009,"creative",12
"1062",2009,"digit",12
"1063",2009,"directly",12
"1064",2009,"discrete",12
"1065",2009,"disfluency",12
"1066",2009,"distribute",12
"1067",2009,"dominant",12
"1068",2009,"earlier",12
"1069",2009,"education",12
"1070",2009,"enable",12
"1071",2009,"endogenous",12
"1072",2009,"enough",12
"1073",2009,"exploit",12
"1074",2009,"extract",12
"1075",2009,"fallacy",12
"1076",2009,"fr",12
"1077",2009,"full",12
"1078",2009,"grow",12
"1079",2009,"hierarchical",12
"1080",2009,"hpn",12
"1081",2009,"imagery",12
"1082",2009,"improvement",12
"1083",2009,"inanimate",12
"1084",2009,"induction",12
"1085",2009,"intervention",12
"1086",2009,"investigation",12
"1087",2009,"keep",12
"1088",2009,"lc",12
"1089",2009,"male",12
"1090",2009,"methodology",12
"1091",2009,"moment",12
"1092",2009,"moreover",12
"1093",2009,"narrative",12
"1094",2009,"next",12
"1095",2009,"objective",12
"1096",2009,"offer",12
"1097",2009,"online",12
"1098",2009,"organize",12
"1099",2009,"out",12
"1100",2009,"partner",12
"1101",2009,"peer",12
"1102",2009,"phonetic",12
"1103",2009,"plan",12
"1104",2009,"poor",12
"1105",2009,"pragmatic",12
"1106",2009,"precede",12
"1107",2009,"prompt",12
"1108",2009,"rational",12
"1109",2009,"recurrent",12
"1110",2009,"reduction",12
"1111",2009,"regardless",12
"1112",2009,"rich",12
"1113",2009,"rotation",12
"1114",2009,"scientific",12
"1115",2009,"semantically",12
"1116",2009,"session",12
"1117",2009,"success",12
"1118",2009,"sufficient",12
"1119",2009,"symmetry",12
"1120",2009,"talk",12
"1121",2009,"thought",12
"1122",2009,"tms",12
"1123",2009,"tn",12
"1124",2009,"traffic",12
"1125",2009,"trend",12
"1126",2009,"typical",12
"1127",2009,"unconscious",12
"1128",2009,"unique",12
"1129",2009,"unknown",12
"1130",2009,"utilize",12
"1131",2009,"wm",12
"1132",2009,"yet",12
"1133",2009,"2009",11
"1134",2009,"accessibility",11
"1135",2009,"actor",11
"1136",2009,"adaptation",11
"1137",2009,"additionally",11
"1138",2009,"adjust",11
