year,title,authorAbbr
2020,Developmental Differences in Information Sampling Effort,H Huizenga
2020,Developmental Differences in Information Sampling Effort,W Van den Bos
2020,The impact of speech disfluencies on the believability and recall of sentences,S Bibyk
2020,The impact of speech disfluencies on the believability and recall of sentences,L Fazio
2020,The impact of speech disfluencies on the believability and recall of sentences,D Watson
2020,Does Children's Visual Attention to Objects Influence their Verb Learning?,J Childers
2020,Does Children's Visual Attention to Objects Influence their Verb Learning?,B Cutilletta
2020,Does Children's Visual Attention to Objects Influence their Verb Learning?,K Capps
2020,Does Children's Visual Attention to Objects Influence their Verb Learning?,S Lalani
2020,Does Children's Visual Attention to Objects Influence their Verb Learning?,P Tovar-Perez
2020,Can Automated Gesture Recognition Support the Study of Child Language Development?,S Samanta
2020,Can Automated Gesture Recognition Support the Study of Child Language Development?,C Bannard
2020,Can Automated Gesture Recognition Support the Study of Child Language Development?,J Pine
2020,Can Automated Gesture Recognition Support the Study of Child Language Development?,L Team
2020,Model gender influences emotion categorization,R Plate
2020,Model gender influences emotion categorization,K Woodard
2020,Model gender influences emotion categorization,S Pollak
2020,A Large-Scale Analysis of Attentional Deployment across One Hundred Sessions of Adaptive Multitask Training,O Claflin
2020,The Effect of Knowledge about a Group on Perceived Group Variability and Certainty about Stereotype-Based Inferences,T Vrantsidis
2020,The Effect of Knowledge about a Group on Perceived Group Variability and Certainty about Stereotype-Based Inferences,W Cunningham
2020,A study of hand manipulation and spatial tasks in which preschool girls perform well.,M Noda
2020,Individual adaptation in teamwork,H Li
2020,Individual adaptation in teamwork,D Hughes
2020,Individual adaptation in teamwork,M Lewis
2020,Individual adaptation in teamwork,K Sycara
2020,Learning what is relevant for rewards via value-based serial hypothesis testing,M Song
2020,Learning what is relevant for rewards via value-based serial hypothesis testing,Y Niv
2020,Learning what is relevant for rewards via value-based serial hypothesis testing,M Cai
2020,Characteristics of Visualizations and Texts in Elementary School Biology Books,D Menendez
2020,Characteristics of Visualizations and Texts in Elementary School Biology Books,T Johnson
2020,Characteristics of Visualizations and Texts in Elementary School Biology Books,R Hassett
2020,Characteristics of Visualizations and Texts in Elementary School Biology Books,A Haut
2020,Characteristics of Visualizations and Texts in Elementary School Biology Books,O Mathiaparanam
2020,Characteristics of Visualizations and Texts in Elementary School Biology Books,M Alibali
2020,Characteristics of Visualizations and Texts in Elementary School Biology Books,K Rosengren
2020,Childrens age-related transition from associative learning processes to reasoning-based social learning strategies,K Blakey
2020,Childrens age-related transition from associative learning processes to reasoning-based social learning strategies,E Rafetseder
2020,Childrens age-related transition from associative learning processes to reasoning-based social learning strategies,M Atkinson
2020,Childrens age-related transition from associative learning processes to reasoning-based social learning strategies,E Renner
2020,Childrens age-related transition from associative learning processes to reasoning-based social learning strategies,C Caldwell
2020,"Are all Framing Effects Created Equal?  Relationships between Risky Choice Framing, Metaphor Framing, and Language",P Thibodeau
2020,"Are all Framing Effects Created Equal?  Relationships between Risky Choice Framing, Metaphor Framing, and Language",S Flusberg
2020,"I dont know if you did it, but I know why: A motive preference at multiple stages of the legal-investigative process",A Liefgreen
2020,"I dont know if you did it, but I know why: A motive preference at multiple stages of the legal-investigative process",S Yousif
2020,"I dont know if you did it, but I know why: A motive preference at multiple stages of the legal-investigative process",F Keil
2020,"I dont know if you did it, but I know why: A motive preference at multiple stages of the legal-investigative process",D Lagnado
2020,Reducing retrieval time modulates the production effect,M Kelly
2020,Reducing retrieval time modulates the production effect,X Lu
2020,Reducing retrieval time modulates the production effect,C MacLeod
2020,Reducing retrieval time modulates the production effect,E Risko
2020,An evidence accumulation model of motivational and developmental influences over sustained attention,H Ritz
2020,An evidence accumulation model of motivational and developmental influences over sustained attention,J DeGutis
2020,An evidence accumulation model of motivational and developmental influences over sustained attention,M Frank
2020,An evidence accumulation model of motivational and developmental influences over sustained attention,M Esterman
2020,An evidence accumulation model of motivational and developmental influences over sustained attention,A Shenhav
2020,The Representational Formats of Cognition and Perception and their Interface: Part 1,A Raftopoulos
2020,Using signal detection theory to investigate the role of visual information in performance monitoring in typing,S Pinet
2020,Using signal detection theory to investigate the role of visual information in performance monitoring in typing,N Nozari
2020,Is Segmental Interference Position-dependent?,W Harrison
2020,Is Segmental Interference Position-dependent?,C Hepner
2020,Is Segmental Interference Position-dependent?,N Nozari
2020,Evaluating computational models of infant phonetic learning across languages,Y Matusevych
2020,Evaluating computational models of infant phonetic learning across languages,T Schatz
2020,Evaluating computational models of infant phonetic learning across languages,H Kamper
2020,Evaluating computational models of infant phonetic learning across languages,N Feldman
2020,Evaluating computational models of infant phonetic learning across languages,S Goldwater
2020,Systematicity in a Recurrent Neural Network by Factorizing Syntax and Semantics,J Russin
2020,Systematicity in a Recurrent Neural Network by Factorizing Syntax and Semantics,J Jo
2020,Systematicity in a Recurrent Neural Network by Factorizing Syntax and Semantics,R O'Reilly
2020,Systematicity in a Recurrent Neural Network by Factorizing Syntax and Semantics,Y Bengio
2020,Context variability promotes generalization in reading aloud: Insight from a neural network simulation,I Miller
2020,Context variability promotes generalization in reading aloud: Insight from a neural network simulation,N Dumay
2020,Context variability promotes generalization in reading aloud: Insight from a neural network simulation,M Pitt
2020,Context variability promotes generalization in reading aloud: Insight from a neural network simulation,B Lam
2020,Context variability promotes generalization in reading aloud: Insight from a neural network simulation,B Armstrong
2020,A Model of Fast Concept Inference with Object-Factorized Cognitive Programs,D Sawyer
2020,A Model of Fast Concept Inference with Object-Factorized Cognitive Programs,M Lázaro-Gredilla
2020,A Model of Fast Concept Inference with Object-Factorized Cognitive Programs,D George
2020,Role of Working Memory in Language Activation during Visual Scene Processing,S Chabal
2020,Role of Working Memory in Language Activation during Visual Scene Processing,M Fernandez-Duque
2020,Role of Working Memory in Language Activation during Visual Scene Processing,S Hayakawa
2020,Role of Working Memory in Language Activation during Visual Scene Processing,V Marian
2020,Limitations of Statistical Learning: the Case of Paradigmatic Relations,H Yim
2020,Limitations of Statistical Learning: the Case of Paradigmatic Relations,O Savic
2020,Limitations of Statistical Learning: the Case of Paradigmatic Relations,J Kim
2020,Limitations of Statistical Learning: the Case of Paradigmatic Relations,V Sloutsky
2020,Limitations of Statistical Learning: the Case of Paradigmatic Relations,S Dennis
2020,Using Emails to Quantify the Impact of Prior Exposure on Word Recognition Memory,H Yim
2020,Using Emails to Quantify the Impact of Prior Exposure on Word Recognition Memory,C O'Brien
2020,Using Emails to Quantify the Impact of Prior Exposure on Word Recognition Memory,B Stone
2020,Using Emails to Quantify the Impact of Prior Exposure on Word Recognition Memory,A Osth
2020,Using Emails to Quantify the Impact of Prior Exposure on Word Recognition Memory,S Dennis
2020,The semantics of spatial demonstratives,M Wallentin
2020,The semantics of spatial demonstratives,R Rocca
2020,Effect of wordings on public perception toward Artificial Intelligence,M Ragot
2020,Effect of wordings on public perception toward Artificial Intelligence,N Martin
2020,Effect of wordings on public perception toward Artificial Intelligence,C Michaud--Redon
2020,Contrasting Exemplar and Prototype Models in a Natural-Science Category Domain,R Nosofsky
2020,Contrasting Exemplar and Prototype Models in a Natural-Science Category Domain,B Meagher
2020,Contrasting Exemplar and Prototype Models in a Natural-Science Category Domain,P Kumar
2020,Does Language Model Surprisal Measure Code Comprehension?,C Casalnuovo
2020,Does Language Model Surprisal Measure Code Comprehension?,P Devanbu
2020,Does Language Model Surprisal Measure Code Comprehension?,E Morgan
2020,Decision-Making Under Uncertainty in Major Depression Patients,X SONG
2020,Decision-Making Under Uncertainty in Major Depression Patients,M Manavalan
2020,Decision-Making Under Uncertainty in Major Depression Patients,I Vilares
2020,Morphological and pseudomorphological effects in English visual word processing: How much can we attribute the statistical structure of the language?,P Stevens
2020,Morphological and pseudomorphological effects in English visual word processing: How much can we attribute the statistical structure of the language?,D Plaut
2020,Child-directed word associations reveal divergent semantic structure that improves models of early word learning,C Cox
2020,Child-directed word associations reveal divergent semantic structure that improves models of early word learning,A Suchand
2020,Child-directed word associations reveal divergent semantic structure that improves models of early word learning,E Haebig
2020,QuLBIT: Quantum-Like Bayesian Inference Technologies for Cognition and Decision,C Moreira
2020,QuLBIT: Quantum-Like Bayesian Inference Technologies for Cognition and Decision,M Hammes
2020,QuLBIT: Quantum-Like Bayesian Inference Technologies for Cognition and Decision,R Kurdoglu
2020,QuLBIT: Quantum-Like Bayesian Inference Technologies for Cognition and Decision,P Bruza
2020,Modulating the coherence effect in causal-based processing,N Marchant
2020,Modulating the coherence effect in causal-based processing,S Chaigneau
2020,Getting Our Bearings: Advances in Understanding Spatial Reorientation,N Newcombe
2020,Pretend Play and Childrens Self-Regulation and Language Skills: An Interventional Study,T Paes
2020,Pretend Play and Childrens Self-Regulation and Language Skills: An Interventional Study,M Ellefson
2020,How Can We Access Children Basic Academic Skills? The Possibility of Corrected Academic Skills via an Alternative Approach,M Takahashi
2020,How Can We Access Children Basic Academic Skills? The Possibility of Corrected Academic Skills via an Alternative Approach,R Hirabayashi
2020,How Can We Access Children Basic Academic Skills? The Possibility of Corrected Academic Skills via an Alternative Approach,K Nakamura
2020,Gaze behavior in a review-a-definition task,K Saito
2020,Gaze behavior in a review-a-definition task,S Hidaka
2020,Adaptive Sampling Policies Imply Biased Beliefs: A Generalization of the Hot Stove Effect,J Denrell
2020,Testing the immediate effects of transcranial Direct Current Stimulation (tDCS) on face recognition skills.,C Civile
2020,Testing the immediate effects of transcranial Direct Current Stimulation (tDCS) on face recognition skills.,R McLaren
2020,Testing the immediate effects of transcranial Direct Current Stimulation (tDCS) on face recognition skills.,E Waguri
2020,Testing the immediate effects of transcranial Direct Current Stimulation (tDCS) on face recognition skills.,I McLaren
2020,Investigating the impact of social and biological cues in children's perception of humanoid robots,J Solyst
2020,Investigating the impact of social and biological cues in children's perception of humanoid robots,S Pauen
2020,Modeling individual learning trajectories in cross-situational word learning,Y Khoe
2020,Modeling individual learning trajectories in cross-situational word learning,A Hendrickson
2020,Intentional information sharing promotes cumulative culture relative to inadvertent behavioural cues: an experimental demonstration,G Mackintosh
2020,Intentional information sharing promotes cumulative culture relative to inadvertent behavioural cues: an experimental demonstration,M Atkinson
2020,Intentional information sharing promotes cumulative culture relative to inadvertent behavioural cues: an experimental demonstration,C Caldwell
2020,"Auditory, Visual, and Speech Category Learning in the Same Individuals",C Roark
2020,"Auditory, Visual, and Speech Category Learning in the Same Individuals",B Chandrasekaran
2020,A Neural Network Model of the Effect of Prior Experience with Regularities on Subsequent Category Learning,C Roark
2020,A Neural Network Model of the Effect of Prior Experience with Regularities on Subsequent Category Learning,D Plaut
2020,A Neural Network Model of the Effect of Prior Experience with Regularities on Subsequent Category Learning,L Holt
2020,Process and Content in Decisions from Memory,W Zhao
2020,Process and Content in Decisions from Memory,R Richie
2020,Process and Content in Decisions from Memory,S Bhatia
2020,Can Changes in Inhibitory Control Explain Child-Level Theory of Mind Development?,E Poyraz
2020,Can Changes in Inhibitory Control Explain Child-Level Theory of Mind Development?,P Hemmer
2020,Can Changes in Inhibitory Control Explain Child-Level Theory of Mind Development?,A Leslie
2020,Promoting relational responding by varying presentation conditions,M Mason
2020,Promoting relational responding by varying presentation conditions,K Kurtz
2020,The effect of book syntactic complexity on caregiver and child language profile during shared book reading,A Stoops
2020,The effect of book syntactic complexity on caregiver and child language profile during shared book reading,J Montag
2020,Partner-specific adaptation in disfluency processing,S Yoon
2020,Partner-specific adaptation in disfluency processing,S Brown-Schmidt
2020,Health beliefs and decision making,M Goldwater
2020,Health beliefs and decision making,A Perfors
2020,Health beliefs and decision making,Z Horne
2020,Health beliefs and decision making,C Legare
2020,Health beliefs and decision making,E Markman
2020,May I Have Your Attention? Testing a Subjective Attention Scale,M Welsh
2020,When Generic Language does not Promote Psychological Essentialism,N Vasilyeva
2020,When Generic Language does not Promote Psychological Essentialism,A Gopnik
2020,When Generic Language does not Promote Psychological Essentialism,T Lombrozo
2020,Investigating the effects of transcranial Direct Current Stimulation (tDCS) on Face Recognition skills as indexed by the Composite Face Effect.,E Waguri
2020,Investigating the effects of transcranial Direct Current Stimulation (tDCS) on Face Recognition skills as indexed by the Composite Face Effect.,R McLaren
2020,Investigating the effects of transcranial Direct Current Stimulation (tDCS) on Face Recognition skills as indexed by the Composite Face Effect.,I McLaren
2020,Investigating the effects of transcranial Direct Current Stimulation (tDCS) on Face Recognition skills as indexed by the Composite Face Effect.,C Civile
2020,"Global Warming, Nationalism, and Reasoning With Numbers: Toward Techniques to Promote the Public's Critical Thinking About Statistics",L Velautham
2020,"Global Warming, Nationalism, and Reasoning With Numbers: Toward Techniques to Promote the Public's Critical Thinking About Statistics",M Ranney
2020,New Measures for the Fundamentals of Human Performance,W Gray
2020,New Measures for the Fundamentals of Human Performance,R Perez
2020,New Measures for the Fundamentals of Human Performance,R Rahman
2020,New Measures for the Fundamentals of Human Performance,C Sims
2020,New Measures for the Fundamentals of Human Performance,E Torres
2020,New Measures for the Fundamentals of Human Performance,T Wiltshire
2020,Inverse Rendering Best Explains Face Perception Under Extreme Illuminations,B Egger
2020,Inverse Rendering Best Explains Face Perception Under Extreme Illuminations,M Siegel
2020,Inverse Rendering Best Explains Face Perception Under Extreme Illuminations,R Arora
2020,Inverse Rendering Best Explains Face Perception Under Extreme Illuminations,A Soltani
2020,Inverse Rendering Best Explains Face Perception Under Extreme Illuminations,I Yildirim
2020,Inverse Rendering Best Explains Face Perception Under Extreme Illuminations,J Tenenbaum
2020,Great expectations: Evidence for graded prediction of grammatical gender,K Haeuser
2020,Great expectations: Evidence for graded prediction of grammatical gender,J Kray
2020,Great expectations: Evidence for graded prediction of grammatical gender,A Borovsky
2020,Disguising self-esteem caused changes in academic achievements differently for boys and girls in Japanese junior high school.,A Uchida
2020,Disguising self-esteem caused changes in academic achievements differently for boys and girls in Japanese junior high school.,K Mori
2020,Musical Pitch Affects Brightness Judgment of a Concurrent Visual Object,Y Hong
2020,Musical Pitch Affects Brightness Judgment of a Concurrent Visual Object,A Choi
2020,Musical Pitch Affects Brightness Judgment of a Concurrent Visual Object,C Lee
2020,Musical Pitch Affects Brightness Judgment of a Concurrent Visual Object,K Lee
2020,Modeling Gestalt Visual Reasoning on Ravens Progressive Matrices Using Generative Image Inpainting Techniques,T Hua
2020,Modeling Gestalt Visual Reasoning on Ravens Progressive Matrices Using Generative Image Inpainting Techniques,M Kunda
2020,The Typology of Polysemy: A Multilingual Distributional Framework,E Rabinovich
2020,The Typology of Polysemy: A Multilingual Distributional Framework,Y Xu
2020,The Typology of Polysemy: A Multilingual Distributional Framework,S Stevenson
2020,Contribution of first-person sensory experience to thinking about seeing: Evidence from blindness,E Musz
2020,Contribution of first-person sensory experience to thinking about seeing: Evidence from blindness,A Silverman
2020,Contribution of first-person sensory experience to thinking about seeing: Evidence from blindness,M Bedny
2020,Probing Neural Language Models for Human Tacit Assumptions,N Weir
2020,Probing Neural Language Models for Human Tacit Assumptions,A Poliak
2020,Probing Neural Language Models for Human Tacit Assumptions,B Van Durme
2020,"Simple mechanisms, rich structure: Statistical co-occurrence regularities in language shape the development of semantic knowledge",L Unger
2020,"Simple mechanisms, rich structure: Statistical co-occurrence regularities in language shape the development of semantic knowledge",O Savic
2020,"Simple mechanisms, rich structure: Statistical co-occurrence regularities in language shape the development of semantic knowledge",V Sloutsky
2020,Beyond rationality: We infer other people's goals by learning agent-variable expectations of efficient action,J Ongchoco
2020,Beyond rationality: We infer other people's goals by learning agent-variable expectations of efficient action,J Jara-Ettinger
2020,Learning the internal structure of novel categories,S Solomon
2020,Learning the internal structure of novel categories,A Schapiro
2020,Illusory causal connections and their effect on subjective probability,S Yousif
2020,Illusory causal connections and their effect on subjective probability,F Keil
2020,"Exploring demographic differences in a large-scale study of Spanish word association norms: The role of age, gender, and nationality",G Blanco-Gomez
2020,"Exploring demographic differences in a large-scale study of Spanish word association norms: The role of age, gender, and nationality",S De Deyne
2020,"Exploring demographic differences in a large-scale study of Spanish word association norms: The role of age, gender, and nationality",Á Cabana
2020,"Exploring demographic differences in a large-scale study of Spanish word association norms: The role of age, gender, and nationality",B Armstrong
2020,Some Determinants of Chunk Size in Sequential Behavior: Individual Differences in the Transcription of Alphanumeric Strings,P Cheng
2020,Some Determinants of Chunk Size in Sequential Behavior: Individual Differences in the Transcription of Alphanumeric Strings,N Albehaijan
2020,What is an extreme outcome in risky choice?,J Holwerda
2020,What is an extreme outcome in risky choice?,B Newell
2020,The Perception-Action Loop in a Predictive Agent,M Baruah
2020,The Perception-Action Loop in a Predictive Agent,B Bannerjee
2020,Enhancing Cognitive Assessment through Multimodal Sensing: A Case Study Using the Block Design Test,S Cha
2020,Enhancing Cognitive Assessment through Multimodal Sensing: A Case Study Using the Block Design Test,J Ainooson
2020,Enhancing Cognitive Assessment through Multimodal Sensing: A Case Study Using the Block Design Test,E Chong
2020,Enhancing Cognitive Assessment through Multimodal Sensing: A Case Study Using the Block Design Test,I Soulières
2020,Enhancing Cognitive Assessment through Multimodal Sensing: A Case Study Using the Block Design Test,J Rehg
2020,Enhancing Cognitive Assessment through Multimodal Sensing: A Case Study Using the Block Design Test,M Kunda
2020,Biasing Moral Decisions Using Eye Movements: Replication and Simulation,J Falandays
2020,Biasing Moral Decisions Using Eye Movements: Replication and Simulation,M Spivey
2020,Sleep-associated consolidation in app-based language learning,E James
2020,Sleep-associated consolidation in app-based language learning,Y Koutraki
2020,Sleep-associated consolidation in app-based language learning,H Tickle
2020,Forming Concepts of Mozart and Homer Using Short-Term and Long-Term Memory:  A Computational Model Based on Chunking,D Bennett
2020,Forming Concepts of Mozart and Homer Using Short-Term and Long-Term Memory:  A Computational Model Based on Chunking,F Gobet
2020,Forming Concepts of Mozart and Homer Using Short-Term and Long-Term Memory:  A Computational Model Based on Chunking,P Lane
2020,Assessing children's perceptual sensitivity to social information,E Yeung
2020,Assessing children's perceptual sensitivity to social information,U Mueller
2020,Tell me something I don't know: How perceived knowledge influences the use of information during decision making,S Kleinberg
2020,Tell me something I don't know: How perceived knowledge influences the use of information during decision making,J Marsh
2020,Active Word Learning through Self-supervision,L Gelderloos
2020,Active Word Learning through Self-supervision,A Mahmoudi Kamelabad
